 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_SH5_P6_guides.tif:2022,6.200E-6,149.009,110.269,177.000,179.310,0.039
2,BETALL_SH5_P6_guides.tif:2021,1.446E-5,156.402,134.333,186.000,180.000,0.092
3,BETALL_SH5_P6_guides.tif:2020,1.391E-5,159.855,140.438,187.250,179.591,0.088
4,BETALL_SH5_P6_guides.tif:2019,1.610E-5,157.744,129.895,177.278,-179.469,0.102
5,BETALL_SH5_P6_guides.tif:2018,1.676E-5,149.288,120.000,178.667,180.000,0.106
6,BETALL_SH5_P6_guides.tif:2017,8.730E-6,132.614,93.000,163.667,180.000,0.055
7,BETALL_SH5_P6_guides.tif:2022,8.358E-6,142.997,116.667,157.867,58.861,0.053
8,BETALL_SH5_P6_guides.tif:2021,1.354E-5,157.086,136.610,184.610,57.360,0.086
9,BETALL_SH5_P6_guides.tif:2020,1.858E-5,152.055,85.000,180.601,57.775,0.118
10,BETALL_SH5_P6_guides.tif:2019,1.932E-5,156.388,135.333,180.967,56.800,0.123
11,BETALL_SH5_P6_guides.tif:2018,1.867E-5,150.346,128.188,177.858,57.704,0.118
12,BETALL_SH5_P6_guides.tif:2017,8.878E-6,118.720,86.279,160.333,56.310,0.056
13,BETALL_SH5_P6_guides.tif:2022,9.399E-6,145.058,110.279,188.813,-57.319,0.059
14,BETALL_SH5_P6_guides.tif:2021,1.136E-5,158.743,140.592,189.494,-56.519,0.072
15,BETALL_SH5_P6_guides.tif:2020,1.766E-5,141.531,85.000,192.965,-57.294,0.112
16,BETALL_SH5_P6_guides.tif:2018,1.939E-5,146.968,125.963,184.924,-57.653,0.123
17,BETALL_SH5_P6_guides.tif:2017,7.217E-6,118.721,85.000,143.398,-55.105,0.046
18,BETALL_SH5_P6_guides.tif:2019,1.657E-5,155.767,136.767,186.402,-56.739,0.105
